"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","aug_strength","augmentation","batch_size","dataset_path","dropout_rate","input_shape","learning_rate","num_classes","num_epochs","num_samples","scheduler_factor","scheduler_patience","use_augmentation","use_lr_scheduler","weight_decay","fold_1_val_acc","fold_2_val_acc","fold_3_val_acc","fold_4_val_acc","mean_val_acc","std_val_acc","train_acc_fold_1","train_acc_fold_2","train_acc_fold_3","train_acc_fold_4","train_loss_fold_1","train_loss_fold_2","train_loss_fold_3","train_loss_fold_4","val_acc_fold_1","val_acc_fold_2","val_acc_fold_3","val_acc_fold_4","val_loss_fold_1","val_loss_fold_2","val_loss_fold_3","val_loss_fold_4"
"2025-03-22 13:08:00","1.6min","daf672cb188841e9b9b95e33ccb0db51","trial_27","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","8","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.16363766870659915","5","False","True","0.00012808487724517574","0.535","0.5825","0.5775","0.6275","0.5806250000000001","0.032757394203446616","0.7716666666666666","0.8","0.7958333333333333","0.7991666666666667","0.8333136276404063","0.7145226353406906","0.7421238154172898","0.7563258761167526","0.495","0.4525","0.5175","0.6275","2.054028536081314","1.9734234499931336","1.8517592257261277","1.336519330739975"
"2025-03-22 12:54:11","1.7min","502963d28d3a4958b5d26992574af5f0","trial_17","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.2453750059784215","3","False","True","4.426619467069006e-05","0.6475","0.5575","0.485","0.6125","0.575625","0.06137423624779374","0.9375","0.8766666666666667","0.8983333333333333","0.8841666666666667","0.38640549023946125","0.5234939561287562","0.45813124159971874","0.5128152622779211","0.6475","0.5575","0.485","0.54","1.3965212893486023","1.6381010699272156","2.16397696018219","1.7061368918418884"
"2025-03-22 12:58:55","1.3min","3cd2c418e7744a589e127665ce2ef90b","trial_20","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.2019376494229163","3","False","True","6.430024554463511e-05","0.655","0.58","0.5225","0.54","0.574375","0.05100168502118338","0.9341666666666667","0.8758333333333334","0.8825","0.8866666666666667","0.3682808268070221","0.479243444999059","0.4995746187369029","0.4888535463809967","0.655","0.475","0.5225","0.4","1.3325853085517883","2.148532061576843","1.8123420095443725","2.4711498832702636"
"2025-03-22 12:48:43","1.3min","377f84d874a04103ae92afe290e6e5b1","trial_13","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.32126630574990495","5","False","True","0.0005798173647237582","0.5625","0.5675","0.54","0.625","0.57375","0.03134984050996112","0.8808333333333334","0.8808333333333334","0.8775","0.8725","0.5105847962697347","0.5219240949551265","0.5043169591824214","0.5607917515436808","0.5625","0.3475","0.51","0.5575","1.6715898394584656","3.797674813270569","1.8756067276000976","1.679160671234131"
"2025-03-22 13:06:42","1.3min","a20a661ded1242d788afed3cc0f3f617","trial_26","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","","","False","False","0.00020133605295952483","0.5525","0.595","0.55","0.5875","0.57125","0.020194368026754377","0.875","0.8866666666666667","0.9041666666666667","0.9108333333333334","0.5199098946650823","0.5042332778374354","0.44838523864746094","0.43267342031002043","0.52","0.595","0.55","0.5875","1.8395520544052124","1.5673326444625855","1.570690245628357","1.5324895262718201"
"2025-03-22 12:52:37","1.6min","a3746812e24c4679bf79b3e6518f0834","trial_16","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.47692844665061945","3","False","True","3.0432270753529087e-05","0.565","0.5575","0.585","0.5675","0.56875","0.010077822185373179","0.9008333333333334","0.8833333333333333","0.8925","0.905","0.4422621363401413","0.5137954260905584","0.45041585167249043","0.46365644653638205","0.5175","0.5575","0.5575","0.56","2.024474790096283","1.6267210578918456","1.8038272428512574","1.6056698060035706"
"2025-03-22 12:27:41","1.3min","686edccf072a47aa9afb55e8d87363f6","trial_1","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.41407038455720546","6","False","True","7.4763120622522945e-06","0.56","0.5925","0.5475","0.56","0.5650000000000001","0.016677080080157922","0.8925","0.9008333333333334","0.9041666666666667","0.9041666666666667","0.45868468979994453","0.46322746912638346","0.42406366795301437","0.442599605123202","0.465","0.5475","0.5475","0.475","2.1439811754226685","1.708418264389038","1.7761795473098756","2.190775089263916"
"2025-03-22 13:09:37","1.6min","87d6c85d9d87466aa2afa3333d9cb0fc","trial_28","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","8","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.16697349662820893","10","False","True","0.00014678254736951447","0.55","0.575","0.5575","0.5575","0.56","0.009185586535436888","0.7575","0.7741666666666667","0.8208333333333333","0.7666666666666667","0.8504944862922033","0.8222992396354676","0.7153982345263163","0.8469632530212402","0.455","0.575","0.5375","0.5575","2.1833045423030852","1.7381251960992814","1.7856092685461045","1.66799036860466"
"2025-03-22 12:47:26","1.3min","7ddc4bc460474a58841e23f998c65e85","trial_12","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","0.1239309693604325","(64, 501)","0.00018096","50","10","2000","0.36630079556404194","7","False","True","0.0006407455936233517","0.5475","0.5425","0.57","0.5725","0.558125","0.013272975363497062","0.8608333333333333","0.8641666666666666","0.8733333333333333","0.8725","0.570547506014506","0.5607550386587778","0.5412951586643855","0.5538760886589686","0.4925","0.42","0.555","0.5725","2.022860107421875","2.627608690261841","1.5600007557868958","1.5370372247695923"
"2025-03-22 13:01:30","1.3min","beb9eb0703eb48d8a5317587df13a90d","trial_22","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.13415414758814578","4","False","True","3.9700146994874094e-05","0.545","0.575","0.5425","0.5675","0.5575","0.014031215200402262","0.8966666666666666","0.8941666666666667","0.8908333333333334","0.8741666666666666","0.479781743089358","0.4649078502257665","0.47534022291501365","0.5543401457866033","0.53","0.4775","0.5425","0.5675","1.7788136720657348","1.9380337977409363","1.7382603001594543","1.5739000678062438"
